"","VendorName","ModelName","MYCT","MMIN","MMAX","CACH","CHMIN","CHMAX","PRP","ERP"
"43","cambex","1651-1",50,2000,16000,8,3,6,60,74
"44","dec","decsys:10:1091",133,1000,12000,9,3,12,72,54
"45","dec","decsys:20:2060",133,1000,8000,9,3,12,72,41
"46","dec","microvax-1",810,512,512,8,1,1,18,18
"47","dec","vax:11/730",810,1000,5000,0,1,1,20,28
"48","dec","vax:11/750",320,512,8000,4,1,5,40,36
"49","dec","vax:11/780",200,512,8000,8,1,8,62,38
"50","dg","eclipse:c/350",700,384,8000,0,1,1,24,34
"51","dg","eclipse:m/600",700,256,2000,0,1,1,24,19
"52","dg","eclipse:mv/10000",140,1000,16000,16,1,3,138,72
"53","dg","eclipse:mv/4000",200,1000,8000,0,1,2,36,36
"54","dg","eclipse:mv/6000",110,1000,4000,16,1,2,26,30
"55","dg","eclipse:mv/8000",110,1000,12000,16,1,2,60,56
"56","dg","eclipse:mv/8000-ii",220,1000,8000,16,1,2,71,42
"57","formation","f4000/100",800,256,8000,0,1,4,12,34
"58","formation","f4000/200",800,256,8000,0,1,4,14,34
"59","formation","f4000/200ap",800,256,8000,0,1,4,20,34
"60","formation","f4000/300",800,256,8000,0,1,4,16,34
"61","formation","f4000/300ap",800,256,8000,0,1,4,22,34
"62","four-phase","2000/260",125,512,1000,0,8,20,36,19
"63","gould","concept:32/8705",75,2000,8000,64,1,38,144,75
"64","gould","concept:32/8750",75,2000,16000,64,1,38,144,113
"65","gould","concept:32/8780",75,2000,16000,128,1,38,259,157
"66","hp","3000/30",90,256,1000,0,3,10,17,18
"67","hp","3000/40",105,256,2000,0,3,10,26,20
"68","hp","3000/44",105,1000,4000,0,3,24,32,28
"69","hp","3000/48",105,2000,4000,8,3,19,32,33
"70","hp","3000/64",75,2000,8000,8,3,24,62,47
"71","hp","3000/88",75,3000,8000,8,3,48,64,54
"72","hp","3000/iii",175,256,2000,0,3,24,22,20
"73","harris","100",300,768,3000,0,6,24,36,23
"74","harris","300",300,768,3000,6,6,24,44,25
"75","harris","500",300,768,12000,6,6,24,50,52
"76","harris","600",300,768,4500,0,1,24,45,27
"77","harris","700",300,384,12000,6,1,24,53,50
"78","harris","80",300,192,768,6,6,24,36,18
"79","harris","800",180,768,12000,6,1,31,84,53
"80","honeywell","dps:6/35",330,1000,3000,0,2,4,16,23
"81","honeywell","dps:6/92",300,1000,4000,8,3,64,38,30
"82","honeywell","dps:6/96",300,1000,16000,8,2,112,38,73
"83","honeywell","dps:7/35",330,1000,2000,0,1,2,16,20
"84","honeywell","dps:7/45",330,1000,4000,0,3,6,22,25
"85","honeywell","dps:7/55",140,2000,4000,0,3,6,29,28
"86","honeywell","dps:7/65",140,2000,4000,0,4,8,40,29
"87","honeywell","dps:8/44",140,2000,4000,8,1,20,35,32
"88","honeywell","dps:8/49",140,2000,32000,32,1,20,134,175
"89","honeywell","dps:8/50",140,2000,8000,32,1,54,66,57
"90","honeywell","dps:8/52",140,2000,32000,32,1,54,141,181
"91","honeywell","dps:8/62",140,2000,32000,32,1,54,189,181
"92","honeywell","dps:8/20",140,2000,4000,8,1,20,22,32
"93","ibm","3033:s",57,4000,16000,1,6,12,132,82
"94","ibm","3033:u",57,4000,24000,64,12,16,237,171
"95","ibm","3081",26,16000,32000,64,16,24,465,361
"96","ibm","3081:d",26,16000,32000,64,8,24,465,350
"97","ibm","3083:b",26,8000,32000,0,8,24,277,220
"98","ibm","3083:e",26,8000,16000,0,8,16,185,113
"99","ibm","370/125-2",480,96,512,0,1,1,6,15
"100","ibm","370/148",203,1000,2000,0,1,5,24,21
"101","ibm","370/158-3",115,512,6000,16,1,6,45,35
"102","ibm","38/3",1100,512,1500,0,1,1,7,18
"103","ibm","38/4",1100,768,2000,0,1,1,13,20
"104","ibm","38/5",600,768,2000,0,1,1,16,20
"105","ibm","38/7",400,2000,4000,0,1,1,32,28
"106","ibm","38/8",400,4000,8000,0,1,1,32,45
"107","ibm","4321",900,1000,1000,0,1,2,11,18
"108","ibm","4331-1",900,512,1000,0,1,2,11,17
"109","ibm","4331-11",900,1000,4000,4,1,2,18,26
"110","ibm","4331-2",900,1000,4000,8,1,2,22,28
"111","ibm","4341",900,2000,4000,0,3,6,37,28
"112","ibm","4341-1",225,2000,4000,8,3,6,40,31
"113","ibm","4341-10",225,2000,4000,8,3,6,34,31
"114","ibm","4341-11",180,2000,8000,8,1,6,50,42
"115","ibm","4341-12",185,2000,16000,16,1,6,76,76
"116","ibm","4341-2",180,2000,16000,16,1,6,66,76
"117","ibm","4341-9",225,1000,4000,2,3,6,24,26
"118","ibm","4361-4",25,2000,12000,8,1,4,49,59
"119","ibm","4361-5",25,2000,12000,16,3,5,66,65
"120","ibm","4381-1",17,4000,16000,8,6,12,100,101
"121","ibm","4381-2",17,4000,16000,32,6,12,133,116
"122","ibm","8130-a",1500,768,1000,0,0,0,12,18
"123","ibm","8130-b",1500,768,2000,0,0,0,18,20
"124","ibm","8140",800,768,2000,0,0,0,20,20
"125","ipl","4436",50,2000,4000,0,3,6,27,30
"126","ipl","4443",50,2000,8000,8,3,6,45,44
"127","ipl","4445",50,2000,8000,8,1,6,56,44
"128","ipl","4446",50,2000,16000,24,1,6,70,82
"129","ipl","4460",50,2000,16000,24,1,6,80,82
"130","ipl","4480",50,8000,16000,48,1,10,136,128
"131","magnuson","m80/30",100,1000,8000,0,2,6,16,37
"132","magnuson","m80/31",100,1000,8000,24,2,6,26,46
"133","magnuson","m80/32",100,1000,8000,24,3,6,32,46
"134","magnuson","m80/42",50,2000,16000,12,3,16,45,80
"135","magnuson","m80/43",50,2000,16000,24,6,16,54,88
"136","magnuson","m80/44",50,2000,16000,24,6,16,65,88
"137","microdata","seq.ms/3200",150,512,4000,0,8,128,30,33
"138","nas","as/3000",115,2000,8000,16,1,3,50,46
"139","nas","as/3000-n",115,2000,4000,2,1,5,40,29
"140","nas","as/5000",92,2000,8000,32,1,6,62,53
"141","nas","as/5000-e",92,2000,8000,32,1,6,60,53
"142","nas","as/5000-n",92,2000,8000,4,1,6,50,41
"143","nas","as/6130",75,4000,16000,16,1,6,66,86
"144","nas","as/6150",60,4000,16000,32,1,6,86,95
"145","nas","as/6620",60,2000,16000,64,5,8,74,107
"146","nas","as/6630",60,4000,16000,64,5,8,93,117
"147","nas","as/6650",50,4000,16000,64,5,10,111,119
"148","nas","as/7000",72,4000,16000,64,8,16,143,120
"149","nas","as/7000-n",72,2000,8000,16,6,8,105,48
"150","nas","as/8040",40,8000,16000,32,8,16,214,126
"151","nas","as/8050",40,8000,32000,64,8,24,277,266
"152","nas","as/8060",35,8000,32000,64,8,24,370,270
"153","nas","as/9000-dpc",38,16000,32000,128,16,32,510,426
"154","nas","as/9000-n",48,4000,24000,32,8,24,214,151
"155","nas","as/9040",38,8000,32000,64,8,24,326,267
"156","nas","as/9060",30,16000,32000,256,16,24,510,603
"157","ncr","v8535:ii",112,1000,1000,0,1,4,8,19
"158","ncr","v8545:ii",84,1000,2000,0,1,6,12,21
"159","ncr","v8555:ii",56,1000,4000,0,1,6,17,26
"160","ncr","v8565:ii",56,2000,6000,0,1,8,21,35
"161","ncr","v8565:ii-e",56,2000,8000,0,1,8,24,41
"162","ncr","v8575:ii",56,4000,8000,0,1,8,34,47
"163","ncr","v8585:ii",56,4000,12000,0,1,8,42,62
"164","ncr","v8595:ii",56,4000,16000,0,1,8,46,78
"165","ncr","v8635",38,4000,8000,32,16,32,51,80
"166","ncr","v8650",38,4000,8000,32,16,32,116,80
"167","ncr","v8655",38,8000,16000,64,4,8,100,142
"168","ncr","v8665",38,8000,24000,160,4,8,140,281
"169","ncr","v8670",38,4000,16000,128,16,32,212,190
"170","nixdorf","8890/30",200,1000,2000,0,1,2,25,21
"171","nixdorf","8890/50",200,1000,4000,0,1,4,30,25
"172","nixdorf","8890/70",200,2000,8000,64,1,5,41,67
"173","perkin-elmer","3205",250,512,4000,0,1,7,25,24
"174","perkin-elmer","3210",250,512,4000,0,4,7,50,24
"175","perkin-elmer","3230",250,1000,16000,1,1,8,50,64
"176","prime","50-2250",160,512,4000,2,1,5,30,25
"177","prime","50-250-ii",160,512,2000,2,3,8,32,20
"178","prime","50-550-ii",160,1000,4000,8,1,14,38,29
"179","prime","50-750-ii",160,1000,8000,16,1,14,60,43
"180","prime","50-850-ii",160,2000,8000,32,1,13,109,53
"181","siemens","7.521",240,512,1000,8,1,3,6,19
"182","siemens","7.531",240,512,2000,8,1,5,11,22
"183","siemens","7.536",105,2000,4000,8,3,8,22,31
"184","siemens","7.541",105,2000,6000,16,6,16,33,41
"185","siemens","7.551",105,2000,8000,16,4,14,58,47
"186","siemens","7.561",52,4000,16000,32,4,12,130,99
"187","siemens","7.865-2",70,4000,12000,8,6,8,75,67
"188","siemens","7.870-2",59,4000,12000,32,6,12,113,81
"189","siemens","7.872-2",59,8000,16000,64,12,24,188,149
"190","siemens","7.875-2",26,8000,24000,32,8,16,173,183
"191","siemens","7.880-2",26,8000,32000,64,12,16,248,275
"192","siemens","7.881-2",26,8000,32000,128,24,32,405,382
"193","sperry","1100/61-h1",116,2000,8000,32,5,28,70,56
"194","sperry","1100/81",50,2000,32000,24,6,26,114,182
"195","sperry","1100/82",50,2000,32000,48,26,52,208,227
"196","sperry","1100/83",50,2000,32000,112,52,104,307,341
"197","sperry","1100/84",50,4000,32000,112,52,104,397,360
"198","sperry","1100/93",30,8000,64000,96,12,176,915,919
"199","sperry","1100/94",30,8000,64000,128,12,176,1150,978
"200","sperry","80/3",180,262,4000,0,1,3,12,24
"201","sperry","80/4",180,512,4000,0,1,3,14,24
"202","sperry","80/5",180,262,4000,0,1,3,18,24
"203","sperry","80/6",180,512,4000,0,1,3,21,24
"204","sperry","80/8",124,1000,8000,0,1,8,42,37
"205","sperry","90/80-model-3",98,1000,8000,32,2,8,46,50
"206","sratus","32",125,2000,8000,0,2,14,52,41
"207","wang","vs-100",480,512,8000,32,0,0,67,47
"208","wang","vs-90",480,1000,4000,0,0,0,45,25
